WKT,left,top,right,bottom,id
"POLYGON ((-168685.695649587 6900378.11301825,-68685.6956495874 6900378.11301825,-68685.6956495874 6800378.11301825,-168685.695649587 6800378.11301825,-168685.695649587 6900378.11301825))",-168685.69564958743,6900378.113018246,-68685.69564958743,6800378.113018246,51
"POLYGON ((-168685.695649587 6800378.11301825,-68685.6956495874 6800378.11301825,-68685.6956495874 6700378.11301825,-168685.695649587 6700378.11301825,-168685.695649587 6800378.11301825))",-168685.69564958743,6800378.113018246,-68685.69564958743,6700378.113018246,52
"POLYGON ((-168685.695649587 6700378.11301825,-68685.6956495874 6700378.11301825,-68685.6956495874 6600378.11301825,-168685.695649587 6600378.11301825,-168685.695649587 6700378.11301825))",-168685.69564958743,6700378.113018246,-68685.69564958743,6600378.113018246,53
"POLYGON ((-168685.695649587 6600378.11301825,-68685.6956495874 6600378.11301825,-68685.6956495874 6500378.11301825,-168685.695649587 6500378.11301825,-168685.695649587 6600378.11301825))",-168685.69564958743,6600378.113018246,-68685.69564958743,6500378.113018246,54
"POLYGON ((-68685.6956495874 7100378.11301825,31314.3043504126 7100378.11301825,31314.3043504126 7000378.11301825,-68685.6956495874 7000378.11301825,-68685.6956495874 7100378.11301825))",-68685.69564958743,7100378.113018246,31314.304350412567,7000378.113018246,68
"POLYGON ((-68685.6956495874 7000378.11301825,31314.3043504126 7000378.11301825,31314.3043504126 6900378.11301825,-68685.6956495874 6900378.11301825,-68685.6956495874 7000378.11301825))",-68685.69564958743,7000378.113018246,31314.304350412567,6900378.113018246,69
"POLYGON ((-68685.6956495874 6900378.11301825,31314.3043504126 6900378.11301825,31314.3043504126 6800378.11301825,-68685.6956495874 6800378.11301825,-68685.6956495874 6900378.11301825))",-68685.69564958743,6900378.113018246,31314.304350412567,6800378.113018246,70
"POLYGON ((-68685.6956495874 6800378.11301825,31314.3043504126 6800378.11301825,31314.3043504126 6700378.11301825,-68685.6956495874 6700378.11301825,-68685.6956495874 6800378.11301825))",-68685.69564958743,6800378.113018246,31314.304350412567,6700378.113018246,71
"POLYGON ((-68685.6956495874 6700378.11301825,31314.3043504126 6700378.11301825,31314.3043504126 6600378.11301825,-68685.6956495874 6600378.11301825,-68685.6956495874 6700378.11301825))",-68685.69564958743,6700378.113018246,31314.304350412567,6600378.113018246,72
"POLYGON ((-68685.6956495874 6600378.11301825,31314.3043504126 6600378.11301825,31314.3043504126 6500378.11301825,-68685.6956495874 6500378.11301825,-68685.6956495874 6600378.11301825))",-68685.69564958743,6600378.113018246,31314.304350412567,6500378.113018246,73
"POLYGON ((-68685.6956495874 6500378.11301825,31314.3043504126 6500378.11301825,31314.3043504126 6400378.11301825,-68685.6956495874 6400378.11301825,-68685.6956495874 6500378.11301825))",-68685.69564958743,6500378.113018246,31314.304350412567,6400378.113018246,74
"POLYGON ((31314.3043504126 7100378.11301825,131314.304350413 7100378.11301825,131314.304350413 7000378.11301825,31314.3043504126 7000378.11301825,31314.3043504126 7100378.11301825))",31314.304350412567,7100378.113018246,131314.30435041257,7000378.113018246,87
"POLYGON ((31314.3043504126 7000378.11301825,131314.304350413 7000378.11301825,131314.304350413 6900378.11301825,31314.3043504126 6900378.11301825,31314.3043504126 7000378.11301825))",31314.304350412567,7000378.113018246,131314.30435041257,6900378.113018246,88
"POLYGON ((31314.3043504126 6900378.11301825,131314.304350413 6900378.11301825,131314.304350413 6800378.11301825,31314.3043504126 6800378.11301825,31314.3043504126 6900378.11301825))",31314.304350412567,6900378.113018246,131314.30435041257,6800378.113018246,89
"POLYGON ((31314.3043504126 6800378.11301825,131314.304350413 6800378.11301825,131314.304350413 6700378.11301825,31314.3043504126 6700378.11301825,31314.3043504126 6800378.11301825))",31314.304350412567,6800378.113018246,131314.30435041257,6700378.113018246,90
"POLYGON ((31314.3043504126 6700378.11301825,131314.304350413 6700378.11301825,131314.304350413 6600378.11301825,31314.3043504126 6600378.11301825,31314.3043504126 6700378.11301825))",31314.304350412567,6700378.113018246,131314.30435041257,6600378.113018246,91
"POLYGON ((31314.3043504126 6600378.11301825,131314.304350413 6600378.11301825,131314.304350413 6500378.11301825,31314.3043504126 6500378.11301825,31314.3043504126 6600378.11301825))",31314.304350412567,6600378.113018246,131314.30435041257,6500378.113018246,92
"POLYGON ((31314.3043504126 6500378.11301825,131314.304350413 6500378.11301825,131314.304350413 6400378.11301825,31314.3043504126 6400378.11301825,31314.3043504126 6500378.11301825))",31314.304350412567,6500378.113018246,131314.30435041257,6400378.113018246,93
"POLYGON ((131314.304350413 7200378.11301825,231314.304350413 7200378.11301825,231314.304350413 7100378.11301825,131314.304350413 7100378.11301825,131314.304350413 7200378.11301825))",131314.30435041257,7200378.113018246,231314.30435041257,7100378.113018246,105
"POLYGON ((131314.304350413 7100378.11301825,231314.304350413 7100378.11301825,231314.304350413 7000378.11301825,131314.304350413 7000378.11301825,131314.304350413 7100378.11301825))",131314.30435041257,7100378.113018246,231314.30435041257,7000378.113018246,106
"POLYGON ((131314.304350413 7000378.11301825,231314.304350413 7000378.11301825,231314.304350413 6900378.11301825,131314.304350413 6900378.11301825,131314.304350413 7000378.11301825))",131314.30435041257,7000378.113018246,231314.30435041257,6900378.113018246,107
"POLYGON ((131314.304350413 6900378.11301825,231314.304350413 6900378.11301825,231314.304350413 6800378.11301825,131314.304350413 6800378.11301825,131314.304350413 6900378.11301825))",131314.30435041257,6900378.113018246,231314.30435041257,6800378.113018246,108
"POLYGON ((131314.304350413 6800378.11301825,231314.304350413 6800378.11301825,231314.304350413 6700378.11301825,131314.304350413 6700378.11301825,131314.304350413 6800378.11301825))",131314.30435041257,6800378.113018246,231314.30435041257,6700378.113018246,109
"POLYGON ((131314.304350413 6700378.11301825,231314.304350413 6700378.11301825,231314.304350413 6600378.11301825,131314.304350413 6600378.11301825,131314.304350413 6700378.11301825))",131314.30435041257,6700378.113018246,231314.30435041257,6600378.113018246,110
"POLYGON ((131314.304350413 6600378.11301825,231314.304350413 6600378.11301825,231314.304350413 6500378.11301825,131314.304350413 6500378.11301825,131314.304350413 6600378.11301825))",131314.30435041257,6600378.113018246,231314.30435041257,6500378.113018246,111
"POLYGON ((131314.304350413 6500378.11301825,231314.304350413 6500378.11301825,231314.304350413 6400378.11301825,131314.304350413 6400378.11301825,131314.304350413 6500378.11301825))",131314.30435041257,6500378.113018246,231314.30435041257,6400378.113018246,112
"POLYGON ((231314.304350413 7400378.11301825,331314.304350413 7400378.11301825,331314.304350413 7300378.11301825,231314.304350413 7300378.11301825,231314.304350413 7400378.11301825))",231314.30435041257,7400378.113018246,331314.30435041257,7300378.113018246,122
"POLYGON ((231314.304350413 7300378.11301825,331314.304350413 7300378.11301825,331314.304350413 7200378.11301825,231314.304350413 7200378.11301825,231314.304350413 7300378.11301825))",231314.30435041257,7300378.113018246,331314.30435041257,7200378.113018246,123
"POLYGON ((231314.304350413 7200378.11301825,331314.304350413 7200378.11301825,331314.304350413 7100378.11301825,231314.304350413 7100378.11301825,231314.304350413 7200378.11301825))",231314.30435041257,7200378.113018246,331314.30435041257,7100378.113018246,124
"POLYGON ((231314.304350413 7100378.11301825,331314.304350413 7100378.11301825,331314.304350413 7000378.11301825,231314.304350413 7000378.11301825,231314.304350413 7100378.11301825))",231314.30435041257,7100378.113018246,331314.30435041257,7000378.113018246,125
"POLYGON ((231314.304350413 7000378.11301825,331314.304350413 7000378.11301825,331314.304350413 6900378.11301825,231314.304350413 6900378.11301825,231314.304350413 7000378.11301825))",231314.30435041257,7000378.113018246,331314.30435041257,6900378.113018246,126
"POLYGON ((231314.304350413 6900378.11301825,331314.304350413 6900378.11301825,331314.304350413 6800378.11301825,231314.304350413 6800378.11301825,231314.304350413 6900378.11301825))",231314.30435041257,6900378.113018246,331314.30435041257,6800378.113018246,127
"POLYGON ((231314.304350413 6800378.11301825,331314.304350413 6800378.11301825,331314.304350413 6700378.11301825,231314.304350413 6700378.11301825,231314.304350413 6800378.11301825))",231314.30435041257,6800378.113018246,331314.30435041257,6700378.113018246,128
"POLYGON ((231314.304350413 6700378.11301825,331314.304350413 6700378.11301825,331314.304350413 6600378.11301825,231314.304350413 6600378.11301825,231314.304350413 6700378.11301825))",231314.30435041257,6700378.113018246,331314.30435041257,6600378.113018246,129
"POLYGON ((231314.304350413 6600378.11301825,331314.304350413 6600378.11301825,331314.304350413 6500378.11301825,231314.304350413 6500378.11301825,231314.304350413 6600378.11301825))",231314.30435041257,6600378.113018246,331314.30435041257,6500378.113018246,130
"POLYGON ((331314.304350413 7600378.11301825,431314.304350413 7600378.11301825,431314.304350413 7500378.11301825,331314.304350413 7500378.11301825,331314.304350413 7600378.11301825))",331314.30435041257,7600378.113018246,431314.30435041257,7500378.113018246,139
"POLYGON ((331314.304350413 7500378.11301825,431314.304350413 7500378.11301825,431314.304350413 7400378.11301825,331314.304350413 7400378.11301825,331314.304350413 7500378.11301825))",331314.30435041257,7500378.113018246,431314.30435041257,7400378.113018246,140
"POLYGON ((331314.304350413 7400378.11301825,431314.304350413 7400378.11301825,431314.304350413 7300378.11301825,331314.304350413 7300378.11301825,331314.304350413 7400378.11301825))",331314.30435041257,7400378.113018246,431314.30435041257,7300378.113018246,141
"POLYGON ((331314.304350413 7300378.11301825,431314.304350413 7300378.11301825,431314.304350413 7200378.11301825,331314.304350413 7200378.11301825,331314.304350413 7300378.11301825))",331314.30435041257,7300378.113018246,431314.30435041257,7200378.113018246,142
"POLYGON ((331314.304350413 7200378.11301825,431314.304350413 7200378.11301825,431314.304350413 7100378.11301825,331314.304350413 7100378.11301825,331314.304350413 7200378.11301825))",331314.30435041257,7200378.113018246,431314.30435041257,7100378.113018246,143
"POLYGON ((331314.304350413 7100378.11301825,431314.304350413 7100378.11301825,431314.304350413 7000378.11301825,331314.304350413 7000378.11301825,331314.304350413 7100378.11301825))",331314.30435041257,7100378.113018246,431314.30435041257,7000378.113018246,144
"POLYGON ((331314.304350413 7000378.11301825,431314.304350413 7000378.11301825,431314.304350413 6900378.11301825,331314.304350413 6900378.11301825,331314.304350413 7000378.11301825))",331314.30435041257,7000378.113018246,431314.30435041257,6900378.113018246,145
"POLYGON ((331314.304350413 6900378.11301825,431314.304350413 6900378.11301825,431314.304350413 6800378.11301825,331314.304350413 6800378.11301825,331314.304350413 6900378.11301825))",331314.30435041257,6900378.113018246,431314.30435041257,6800378.113018246,146
"POLYGON ((331314.304350413 6800378.11301825,431314.304350413 6800378.11301825,431314.304350413 6700378.11301825,331314.304350413 6700378.11301825,331314.304350413 6800378.11301825))",331314.30435041257,6800378.113018246,431314.30435041257,6700378.113018246,147
"POLYGON ((331314.304350413 6700378.11301825,431314.304350413 6700378.11301825,431314.304350413 6600378.11301825,331314.304350413 6600378.11301825,331314.304350413 6700378.11301825))",331314.30435041257,6700378.113018246,431314.30435041257,6600378.113018246,148
"POLYGON ((431314.304350413 7800378.11301825,531314.304350413 7800378.11301825,531314.304350413 7700378.11301825,431314.304350413 7700378.11301825,431314.304350413 7800378.11301825))",431314.30435041257,7800378.113018246,531314.3043504126,7700378.113018246,156
"POLYGON ((431314.304350413 7700378.11301825,531314.304350413 7700378.11301825,531314.304350413 7600378.11301825,431314.304350413 7600378.11301825,431314.304350413 7700378.11301825))",431314.30435041257,7700378.113018246,531314.3043504126,7600378.113018246,157
"POLYGON ((431314.304350413 7600378.11301825,531314.304350413 7600378.11301825,531314.304350413 7500378.11301825,431314.304350413 7500378.11301825,431314.304350413 7600378.11301825))",431314.30435041257,7600378.113018246,531314.3043504126,7500378.113018246,158
"POLYGON ((431314.304350413 7500378.11301825,531314.304350413 7500378.11301825,531314.304350413 7400378.11301825,431314.304350413 7400378.11301825,431314.304350413 7500378.11301825))",431314.30435041257,7500378.113018246,531314.3043504126,7400378.113018246,159
"POLYGON ((431314.304350413 7400378.11301825,531314.304350413 7400378.11301825,531314.304350413 7300378.11301825,431314.304350413 7300378.11301825,431314.304350413 7400378.11301825))",431314.30435041257,7400378.113018246,531314.3043504126,7300378.113018246,160
"POLYGON ((431314.304350413 7300378.11301825,531314.304350413 7300378.11301825,531314.304350413 7200378.11301825,431314.304350413 7200378.11301825,431314.304350413 7300378.11301825))",431314.30435041257,7300378.113018246,531314.3043504126,7200378.113018246,161
"POLYGON ((431314.304350413 7200378.11301825,531314.304350413 7200378.11301825,531314.304350413 7100378.11301825,431314.304350413 7100378.11301825,431314.304350413 7200378.11301825))",431314.30435041257,7200378.113018246,531314.3043504126,7100378.113018246,162
"POLYGON ((431314.304350413 7100378.11301825,531314.304350413 7100378.11301825,531314.304350413 7000378.11301825,431314.304350413 7000378.11301825,431314.304350413 7100378.11301825))",431314.30435041257,7100378.113018246,531314.3043504126,7000378.113018246,163
"POLYGON ((531314.304350413 7900378.11301825,631314.304350413 7900378.11301825,631314.304350413 7800378.11301825,531314.304350413 7800378.11301825,531314.304350413 7900378.11301825))",531314.3043504126,7900378.113018246,631314.3043504126,7800378.113018246,174
"POLYGON ((531314.304350413 7800378.11301825,631314.304350413 7800378.11301825,631314.304350413 7700378.11301825,531314.304350413 7700378.11301825,531314.304350413 7800378.11301825))",531314.3043504126,7800378.113018246,631314.3043504126,7700378.113018246,175
"POLYGON ((531314.304350413 7700378.11301825,631314.304350413 7700378.11301825,631314.304350413 7600378.11301825,531314.304350413 7600378.11301825,531314.304350413 7700378.11301825))",531314.3043504126,7700378.113018246,631314.3043504126,7600378.113018246,176
"POLYGON ((531314.304350413 7600378.11301825,631314.304350413 7600378.11301825,631314.304350413 7500378.11301825,531314.304350413 7500378.11301825,531314.304350413 7600378.11301825))",531314.3043504126,7600378.113018246,631314.3043504126,7500378.113018246,177
"POLYGON ((531314.304350413 7500378.11301825,631314.304350413 7500378.11301825,631314.304350413 7400378.11301825,531314.304350413 7400378.11301825,531314.304350413 7500378.11301825))",531314.3043504126,7500378.113018246,631314.3043504126,7400378.113018246,178
"POLYGON ((531314.304350413 7400378.11301825,631314.304350413 7400378.11301825,631314.304350413 7300378.11301825,531314.304350413 7300378.11301825,531314.304350413 7400378.11301825))",531314.3043504126,7400378.113018246,631314.3043504126,7300378.113018246,179
"POLYGON ((631314.304350413 7900378.11301825,731314.304350413 7900378.11301825,731314.304350413 7800378.11301825,631314.304350413 7800378.11301825,631314.304350413 7900378.11301825))",631314.3043504126,7900378.113018246,731314.3043504126,7800378.113018246,193
"POLYGON ((631314.304350413 7800378.11301825,731314.304350413 7800378.11301825,731314.304350413 7700378.11301825,631314.304350413 7700378.11301825,631314.304350413 7800378.11301825))",631314.3043504126,7800378.113018246,731314.3043504126,7700378.113018246,194
"POLYGON ((631314.304350413 7700378.11301825,731314.304350413 7700378.11301825,731314.304350413 7600378.11301825,631314.304350413 7600378.11301825,631314.304350413 7700378.11301825))",631314.3043504126,7700378.113018246,731314.3043504126,7600378.113018246,195
"POLYGON ((631314.304350413 7600378.11301825,731314.304350413 7600378.11301825,731314.304350413 7500378.11301825,631314.304350413 7500378.11301825,631314.304350413 7600378.11301825))",631314.3043504126,7600378.113018246,731314.3043504126,7500378.113018246,196
"POLYGON ((731314.304350413 8000378.11301825,831314.304350413 8000378.11301825,831314.304350413 7900378.11301825,731314.304350413 7900378.11301825,731314.304350413 8000378.11301825))",731314.3043504126,8000378.113018246,831314.3043504126,7900378.113018246,211
"POLYGON ((731314.304350413 7900378.11301825,831314.304350413 7900378.11301825,831314.304350413 7800378.11301825,731314.304350413 7800378.11301825,731314.304350413 7900378.11301825))",731314.3043504126,7900378.113018246,831314.3043504126,7800378.113018246,212
"POLYGON ((731314.304350413 7800378.11301825,831314.304350413 7800378.11301825,831314.304350413 7700378.11301825,731314.304350413 7700378.11301825,731314.304350413 7800378.11301825))",731314.3043504126,7800378.113018246,831314.3043504126,7700378.113018246,213
"POLYGON ((731314.304350413 7700378.11301825,831314.304350413 7700378.11301825,831314.304350413 7600378.11301825,731314.304350413 7600378.11301825,731314.304350413 7700378.11301825))",731314.3043504126,7700378.113018246,831314.3043504126,7600378.113018246,214
"POLYGON ((831314.304350413 8000378.11301825,931314.304350413 8000378.11301825,931314.304350413 7900378.11301825,831314.304350413 7900378.11301825,831314.304350413 8000378.11301825))",831314.3043504126,8000378.113018246,931314.3043504126,7900378.113018246,230
"POLYGON ((831314.304350413 7900378.11301825,931314.304350413 7900378.11301825,931314.304350413 7800378.11301825,831314.304350413 7800378.11301825,831314.304350413 7900378.11301825))",831314.3043504126,7900378.113018246,931314.3043504126,7800378.113018246,231
"POLYGON ((831314.304350413 7800378.11301825,931314.304350413 7800378.11301825,931314.304350413 7700378.11301825,831314.304350413 7700378.11301825,831314.304350413 7800378.11301825))",831314.3043504126,7800378.113018246,931314.3043504126,7700378.113018246,232
"POLYGON ((831314.304350413 7700378.11301825,931314.304350413 7700378.11301825,931314.304350413 7600378.11301825,831314.304350413 7600378.11301825,831314.304350413 7700378.11301825))",831314.3043504126,7700378.113018246,931314.3043504126,7600378.113018246,233
"POLYGON ((931314.304350413 8000378.11301825,1031314.30435041 8000378.11301825,1031314.30435041 7900378.11301825,931314.304350413 7900378.11301825,931314.304350413 8000378.11301825))",931314.3043504126,8000378.113018246,1031314.3043504126,7900378.113018246,249
"POLYGON ((931314.304350413 7900378.11301825,1031314.30435041 7900378.11301825,1031314.30435041 7800378.11301825,931314.304350413 7800378.11301825,931314.304350413 7900378.11301825))",931314.3043504126,7900378.113018246,1031314.3043504126,7800378.113018246,250
"POLYGON ((931314.304350413 7800378.11301825,1031314.30435041 7800378.11301825,1031314.30435041 7700378.11301825,931314.304350413 7700378.11301825,931314.304350413 7800378.11301825))",931314.3043504126,7800378.113018246,1031314.3043504126,7700378.113018246,251
"POLYGON ((1031314.30435041 8000378.11301825,1131314.30435041 8000378.11301825,1131314.30435041 7900378.11301825,1031314.30435041 7900378.11301825,1031314.30435041 8000378.11301825))",1031314.3043504126,8000378.113018246,1131314.3043504125,7900378.113018246,268
"POLYGON ((1031314.30435041 7900378.11301825,1131314.30435041 7900378.11301825,1131314.30435041 7800378.11301825,1031314.30435041 7800378.11301825,1031314.30435041 7900378.11301825))",1031314.3043504126,7900378.113018246,1131314.3043504125,7800378.113018246,269
"POLYGON ((1031314.30435041 7800378.11301825,1131314.30435041 7800378.11301825,1131314.30435041 7700378.11301825,1031314.30435041 7700378.11301825,1031314.30435041 7800378.11301825))",1031314.3043504126,7800378.113018246,1131314.3043504125,7700378.113018246,270
